BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,EdgeCount,Indegree,NeighborhoodConnectivity,Outdegree
0.485958893,0.353219408,0.101556777,109,91,156.1809524,18
0,0,0.123809524,15,15,169.2666667,0
0,0,0.141534392,28,28,143.4285714,0
0.002921099,1,0.114379085,18,17,162.9444444,1
0,0,0.176666667,25,25,150.76,0
0,0.56803138,0.026117982,743,0,87.91386272,743
39.6021235,0.401491502,0.031646976,411,361,110.5334988,50
29.30396373,0.474774405,0.046816602,318,154,134.9933993,164
3.79173763,0.281390543,0.024358974,41,39,104.475,2
0.922424311,0.355333845,0.096044351,143,131,182.0211268,12
1.566203034,0.333045605,0.085459184,50,44,150.244898,6
1.38439866,0.436874882,0.11816518,100,46,159.787234,54
0,0,0.096969697,55,55,200.2727273,0
1.050745738,0.377527723,0.08,82,41,109.08,41
0.005992745,0.24635522,0.095833333,16,15,152.9375,1
0.124380603,0.268312471,0.094693878,50,48,188.96,2
0.199475697,0.833333333,0.06427305,48,44,141.4583333,4
0.043351103,0.239970975,0.107692308,26,21,140.0769231,5
1.100397594,0.30982334,0.104881128,99,82,174.2346939,17
0.006249124,0.25339317,0.191176471,17,14,238.8823529,3
0.923663615,0.282385948,0.078028566,107,104,186.1869159,3
1.441798035,0.361379956,0.068694463,81,54,116.5974026,27
0.243873995,0.348644578,0.106821787,66,34,132.0483871,32
0.085043541,0.226361592,0.128676471,17,15,132.9411765,2
0.123641516,0.346920426,0.13794926,48,20,115.3181818,28
0.483911088,0.424381302,0.094776353,151,28,120.2302158,123
1.47963769,0.424536952,0.094361526,147,42,132.2,105
5.417052114,0.483601421,0.051799606,320,56,129.5273312,264
0.011681654,1,0.054545455,11,10,179.8181818,1
12.85160278,0.402959095,0.051790443,322,272,139.6699029,50
1.644556685,0.39769799,0.080112045,122,54,159.525,68
0.230100959,0.376974434,0.168028846,71,37,185.1692308,34
0.122745554,0.334537572,0.053781513,35,28,105.6285714,7
0,0,0.022222222,10,10,123.9,0
0.100436897,0.265694939,0.126190476,37,31,152.2222222,6
0.799424053,0.430857994,0.089232303,129,39,136.0588235,90
10.58659589,0.461339179,0.084453294,270,105,153.495935,165
0,0,0.053968254,36,36,99.58333333,0
0.132892181,0.368689282,0.137411348,53,27,166.9166667,26
0.082443331,0.270159879,0.091911765,17,13,135.9411765,4
1.057490007,0.350068048,0.071126388,65,29,95.9516129,36
0,0,0.255555556,10,10,180.4,0
0,0,0.056650246,29,29,109.7586207,0
0.323696241,0.35653781,0.112244898,52,36,130.96,16
0.311750297,0.349223111,0.126739262,61,48,169.2586207,13
0.314357085,0.31321878,0.093548387,32,27,174.2580645,5
0.3491171,0.232780292,0.143506494,56,55,182.7678571,1
0.103350946,0.299482536,0.16765873,65,56,211.5,9
0,0,0.122222222,10,10,175.8,0
0,0,0.174242424,12,12,195.0833333,0
1.181927258,0.354680558,0.101201923,68,46,138.7538462,22
1.992188849,0.386090727,0.084226052,119,73,128.254386,46
2.575127682,0.404791047,0.092864924,146,66,112.2205882,80
0,0,0.098484848,12,12,141.75,0
0.402788578,0.360929217,0.09751773,50,20,130.9166667,30
0,0,0.093333333,25,25,144.12,0
1.860975294,0.436792453,0.087139287,171,61,144.0306748,110
0.224007474,0.375994803,0.121909633,70,43,197.4782609,27
0.264555183,0.382707886,0.108382937,68,26,124.328125,42
0,0,0.142276423,42,42,146.4285714,0
0.055605097,0.297634353,0.092460882,38,33,172.5263158,5
0.907415551,0.32578103,0.129445235,41,30,190.1315789,11
0.054758397,0.342101374,0.111861862,39,33,125.1891892,6
0,0,0.113131313,45,45,144.8888889,0
0.036015068,0.340191036,0.145748988,41,37,173.5641026,4
1.21606599,0.40338038,0.07515194,98,38,142.8602151,60
3.512863243,0.414948916,0.047974849,160,22,92.02547771,138
0.600771562,0.276252983,0.066666667,40,33,160.175,7
0.300288812,0.323685682,0.082745098,51,46,171.1568627,5
1.934503928,0.375567813,0.101381134,87,68,148.3493976,19
0.314335627,0.37722014,0.139384921,66,33,171.71875,33
0.015372305,0.285203893,0.174193548,32,30,263.516129,2
0.626968337,0.404155028,0.065148515,105,31,122.2772277,74
2.349517495,0.279724505,0.055656382,58,53,102.2758621,5
0.773843304,0.438363946,0.098603175,134,46,166.1904762,88
3.58505847,0.430938198,0.094245204,122,62,162.1545455,60
0.107120623,0.337168657,0.128733997,38,18,145.0789474,20
0.532329511,0.406997187,0.076481103,95,33,140.9213483,62
0.017437785,0.331282198,0.116402116,28,15,141.5,13
1.263792008,0.436380773,0.069440716,157,22,125.02,135
9.259986217,0.520458633,0.040791387,543,71,117.3675048,472
0.225740605,0.176179604,0.076282051,40,38,161.4,2
0.952489098,0.389533905,0.108774663,112,73,157.9814815,39
0.884085119,0.351503189,0.11615245,60,47,188.7241379,13
1.404912708,0.381007242,0.07418284,92,49,178.4157303,43
0,0,0.031546848,193,193,101.1968912,0
0,0,0.092915215,42,42,210.8333333,0
0.239921583,0.310238542,0.063492063,28,19,136.25,9
1.712438722,0.303089814,0.103942652,64,62,169.0793651,2
1.165573685,0.428307123,0.075417638,149,42,146.4166667,107
1.162139617,0.360423478,0.112519584,125,90,140.9411765,35
0.351231212,0.363308223,0.088324259,61,39,119.6206897,22
8.021763055,0.40338038,0.066132297,267,188,128.9112903,79
0.576192867,0.369159624,0.159436834,80,47,173.4246575,33
0.340185915,0.297596092,0.108624709,66,65,205.1060606,1
0.023157867,0.26753727,0.20304878,41,36,229.3658537,5
0,0,0.093023256,43,43,187.0465116,0
0.616561067,0.420985634,0.085765489,66,21,140.1587302,45
0.00435226,0.279623143,0.185714286,15,13,180.0666667,2
4.260882733,0.426256675,0.082387341,188,64,113.5906433,124
0.080333862,0.311868517,0.057142857,21,13,140.3333333,8
0.670269741,0.356044294,0.132505176,76,56,158.2,20
0.731563267,0.392905635,0.118150685,77,46,187.1232877,31
1.430382216,0.410606598,0.075603126,113,48,147.7981651,65
0.319635529,0.341093267,0.114114114,40,31,174,9
7.843369957,0.484410965,0.050324418,363,73,116.497191,290
0,0,0.114675221,87,87,187.3793103,0
